Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US10607,10607,ZCTA5 10607,49010,4472
8600000US10701,10701,ZCTA5 10701,25051,1175
8600000US10703,10703,ZCTA5 10703,25400,1701
8600000US10704,10704,ZCTA5 10704,34769,1406
8600000US10705,10705,ZCTA5 10705,23856,1435
8600000US10706,10706,ZCTA5 10706,67900,5710
8600000US10707,10707,ZCTA5 10707,55526,6347
8600000US10708,10708,ZCTA5 10708,71528,4708
8600000US10709,10709,ZCTA5 10709,57008,5756
8600000US10710,10710,ZCTA5 10710,40510,2165
8600000US10801,10801,ZCTA5 10801,29516,1589
8600000US10803,10803,ZCTA5 10803,78119,5867
8600000US10804,10804,ZCTA5 10804,77233,5087
8600000US10805,10805,ZCTA5 10805,34002,2916
8600000US10901,10901,ZCTA5 10901,45764,2717
8600000US10911,10911,ZCTA5 10911,-,**
8600000US10913,10913,ZCTA5 10913,42140,3423
8600000US10914,10914,ZCTA5 10914,36950,8355
8600000US10916,10916,ZCTA5 10916,37349,4391
8600000US10917,10917,ZCTA5 10917,41110,9561
8600000US10918,10918,ZCTA5 10918,35518,2638
8600000US10919,10919,ZCTA5 10919,33086,6645
8600000US10920,10920,ZCTA5 10920,40421,3066
8600000US10921,10921,ZCTA5 10921,34729,3309
8600000US10922,10922,ZCTA5 10922,42921,6222
8600000US10923,10923,ZCTA5 10923,32022,3218
8600000US10924,10924,ZCTA5 10924,39981,2771
8600000US10925,10925,ZCTA5 10925,42286,8909
8600000US10926,10926,ZCTA5 10926,34555,3950
8600000US10927,10927,ZCTA5 10927,24847,2307
8600000US10928,10928,ZCTA5 10928,40183,4161
8600000US10930,10930,ZCTA5 10930,40672,3419
8600000US10931,10931,ZCTA5 10931,28677,4594
8600000US10932,10932,ZCTA5 10932,15398,6969
8600000US10933,10933,ZCTA5 10933,25913,5558
8600000US10940,10940,ZCTA5 10940,27643,1267
8600000US10941,10941,ZCTA5 10941,29789,2036
8600000US10950,10950,ZCTA5 10950,23115,1026
8600000US10952,10952,ZCTA5 10952,18561,1319
8600000US10953,10953,ZCTA5 10953,50413,10928
8600000US10954,10954,ZCTA5 10954,41669,2462
8600000US10956,10956,ZCTA5 10956,50340,2032
8600000US10958,10958,ZCTA5 10958,30311,3288
8600000US10960,10960,ZCTA5 10960,47433,3535
8600000US10962,10962,ZCTA5 10962,39232,4006
8600000US10963,10963,ZCTA5 10963,18944,2800
8600000US10964,10964,ZCTA5 10964,67585,14939
8600000US10965,10965,ZCTA5 10965,44315,2828
8600000US10968,10968,ZCTA5 10968,81469,20530
8600000US10969,10969,ZCTA5 10969,38976,10045
8600000US10970,10970,ZCTA5 10970,39349,3766
8600000US10973,10973,ZCTA5 10973,38579,5511
8600000US10974,10974,ZCTA5 10974,38773,6053
8600000US10975,10975,ZCTA5 10975,67131,34699
8600000US10976,10976,ZCTA5 10976,33235,5735
8600000US10977,10977,ZCTA5 10977,22150,1646
8600000US10979,10979,ZCTA5 10979,17805,5014
8600000US10980,10980,ZCTA5 10980,38725,2375
8600000US10983,10983,ZCTA5 10983,49025,7082
8600000US10984,10984,ZCTA5 10984,37278,4430
8600000US10985,10985,ZCTA5 10985,67284,52580
8600000US10986,10986,ZCTA5 10986,50753,11076
8600000US10987,10987,ZCTA5 10987,55326,5929
8600000US10988,10988,ZCTA5 10988,33576,7467
8600000US10989,10989,ZCTA5 10989,42524,2920
8600000US10990,10990,ZCTA5 10990,45759,6646
8600000US10992,10992,ZCTA5 10992,36672,2611
8600000US10993,10993,ZCTA5 10993,21938,3253
8600000US10994,10994,ZCTA5 10994,50252,5367
8600000US10996,10996,ZCTA5 10996,19932,2134
8600000US10998,10998,ZCTA5 10998,31648,3961
8600000US11001,11001,ZCTA5 11001,41660,1853
8600000US11003,11003,ZCTA5 11003,29421,1327
8600000US11004,11004,ZCTA5 11004,37442,2486
8600000US11005,11005,ZCTA5 11005,69855,16531
8600000US11010,11010,ZCTA5 11010,35724,1815
8600000US11020,11020,ZCTA5 11020,59745,9319
8600000US11021,11021,ZCTA5 11021,59925,3668
8600000US11023,11023,ZCTA5 11023,45352,4919
8600000US11024,11024,ZCTA5 11024,51201,8183
8600000US11030,11030,ZCTA5 11030,87809,6037
8600000US11040,11040,ZCTA5 11040,42067,1595
8600000US11042,11042,ZCTA5 11042,17325,4593
8600000US11050,11050,ZCTA5 11050,67097,4651
8600000US11096,11096,ZCTA5 11096,21616,3013
8600000US11101,11101,ZCTA5 11101,39670,2162
8600000US11102,11102,ZCTA5 11102,33318,1599
8600000US11103,11103,ZCTA5 11103,35378,1549
8600000US11104,11104,ZCTA5 11104,34638,2039
8600000US11105,11105,ZCTA5 11105,36434,1719
8600000US11106,11106,ZCTA5 11106,33951,1552
8600000US11109,11109,ZCTA5 11109,88966,8303
8600000US11201,11201,ZCTA5 11201,71656,2644
8600000US11203,11203,ZCTA5 11203,23089,715
8600000US11204,11204,ZCTA5 11204,21242,848
8600000US11205,11205,ZCTA5 11205,27341,1776
8600000US11206,11206,ZCTA5 11206,19071,967
8600000US11207,11207,ZCTA5 11207,18401,716
8600000US11208,11208,ZCTA5 11208,17235,703
8600000US11209,11209,ZCTA5 11209,39005,1151
8600000US11210,11210,ZCTA5 11210,26617,1008
8600000US11211,11211,ZCTA5 11211,35470,1236
8600000US11212,11212,ZCTA5 11212,17064,1213
8600000US11213,11213,ZCTA5 11213,20401,1000
8600000US11214,11214,ZCTA5 11214,24952,818
8600000US11215,11215,ZCTA5 11215,64040,2331
8600000US11216,11216,ZCTA5 11216,32291,1858
8600000US11217,11217,ZCTA5 11217,61845,3024
8600000US11218,11218,ZCTA5 11218,27647,1236
