GEO.id,GEO.id2,GEO.display-label,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118,HC01_VC171,HC02_VC171,HC03_VC171,HC04_VC171
8600000US11939,11939,ZCTA5 11939,447,128,447,(X),(X),(X),15.9,9.6,462,89,462,(X),0,11,0.0,6.3,13,18,2.8,3.9,54,25,11.7,4.8,69,46,14.9,8.5,46,26,10.0,5.3,55,28,11.9,5.8,51,30,11.0,6.3,85,40,18.4,8.2,70,40,15.2,8.2,19,14,4.1,3.1,72500,17815,(X),(X),90271,13380,(X),(X),257,58,55.6,9.2,94620,16334,(X),(X),46622,5616,(X),(X),(X),(X),1.6,2.5
8600000US11940,11940,ZCTA5 11940,2938,311,2938,(X),(X),(X),5.0,2.9,1918,126,1918,(X),111,69,5.8,3.5,45,33,2.3,1.7,104,62,5.4,3.2,55,35,2.9,1.8,185,78,9.6,4.1,253,88,13.2,4.7,253,106,13.2,5.6,445,122,23.2,6.0,277,93,14.4,4.6,190,87,9.9,4.4,96607,4912,(X),(X),115880,15315,(X),(X),1545,135,80.6,4.4,114185,12900,(X),(X),42512,6090,(X),(X),(X),(X),5.8,2.6
8600000US11941,11941,ZCTA5 11941,1073,269,1073,(X),(X),(X),4.8,5.0,783,123,783,(X),0,11,0.0,3.8,23,36,2.9,4.6,103,61,13.2,7.5,45,31,5.7,3.9,58,48,7.4,6.2,68,50,8.7,6.1,74,46,9.5,5.7,262,94,33.5,10.8,53,37,6.8,4.7,97,52,12.4,6.8,102135,19775,(X),(X),106482,21573,(X),(X),612,118,78.2,7.1,99806,25965,(X),(X),41367,8930,(X),(X),(X),(X),8.4,9.9
8600000US11942,11942,ZCTA5 11942,2009,252,2009,(X),(X),(X),3.4,2.1,1592,162,1592,(X),50,33,3.1,2.0,9,15,0.6,0.9,30,18,1.9,1.1,137,66,8.6,3.9,143,64,9.0,3.8,313,94,19.7,5.7,186,81,11.7,5.1,428,108,26.9,6.3,136,63,8.5,3.9,160,76,10.1,4.7,88784,17528,(X),(X),113924,14004,(X),(X),1263,147,79.3,5.5,113259,15379,(X),(X),43449,5704,(X),(X),(X),(X),3.4,1.8
8600000US11944,11944,ZCTA5 11944,1801,225,1801,(X),(X),(X),8.8,4.9,1814,155,1814,(X),132,56,7.3,3.1,44,28,2.4,1.5,272,101,15.0,5.2,135,53,7.4,2.9,244,85,13.5,4.7,322,102,17.8,5.2,231,65,12.7,3.6,105,39,5.8,2.1,125,47,6.9,2.6,204,79,11.2,4.2,56029,5612,(X),(X),82529,10072,(X),(X),1175,143,64.8,5.2,74040,11213,(X),(X),36395,4482,(X),(X),(X),(X),16.3,4.6
8600000US11946,11946,ZCTA5 11946,6957,706,6957,(X),(X),(X),3.3,1.4,5210,296,5210,(X),209,74,4.0,1.4,141,71,2.7,1.4,308,117,5.9,2.2,455,146,8.7,2.7,633,185,12.1,3.5,833,168,16.0,3.2,1068,206,20.5,3.7,885,191,17.0,3.4,347,95,6.7,1.8,331,100,6.4,1.9,75670,4998,(X),(X),94292,7873,(X),(X),3954,334,75.9,3.4,93570,8759,(X),(X),37528,3271,(X),(X),(X),(X),6.6,2.2
8600000US11947,11947,ZCTA5 11947,81,91,81,(X),(X),(X),0.0,30.0,81,87,81,(X),0,11,0.0,30.0,0,11,0.0,30.0,0,11,0.0,30.0,50,80,61.7,54.4,0,11,0.0,30.0,16,25,19.8,39.2,0,11,0.0,30.0,0,11,0.0,30.0,15,23,18.5,36.4,0,11,0.0,30.0,(X),(X),(X),(X),56414,52557,(X),(X),65,82,80.2,39.2,N,N,N,N,40867,24825,(X),(X),(X),(X),0.0,22.9
8600000US11948,11948,ZCTA5 11948,643,273,643,(X),(X),(X),5.8,7.0,509,157,509,(X),17,28,3.3,5.6,0,11,0.0,5.7,26,29,5.1,5.6,23,35,4.5,6.8,0,11,0.0,5.7,86,62,16.9,12.2,83,90,16.3,15.7,179,116,35.2,18.5,35,43,6.9,8.1,60,52,11.8,10.8,103112,32588,(X),(X),129135,42269,(X),(X),368,136,72.3,17.1,113413,45945,(X),(X),50158,21599,(X),(X),(X),(X),2.5,4.6
8600000US11949,11949,ZCTA5 11949,7147,540,7147,(X),(X),(X),4.3,1.7,4897,229,4897,(X),83,66,1.7,1.4,253,123,5.2,2.5,332,141,6.8,2.9,162,87,3.3,1.8,304,122,6.2,2.4,889,256,18.2,5.1,367,126,7.5,2.6,994,228,20.3,4.5,908,230,18.5,4.7,605,187,12.4,3.8,105279,15631,(X),(X),112353,7422,(X),(X),3819,262,78.0,3.9,121798,8815,(X),(X),38058,2315,(X),(X),(X),(X),4.8,2.3
8600000US11950,11950,ZCTA5 11950,8262,641,8262,(X),(X),(X),5.7,1.9,4903,243,4903,(X),349,180,7.1,3.6,183,111,3.7,2.2,457,215,9.3,4.3,307,150,6.3,3.1,439,183,9.0,3.7,924,231,18.8,4.6,747,185,15.2,3.8,941,235,19.2,4.7,390,152,8.0,3.1,166,65,3.4,1.3,71088,6511,(X),(X),78660,5400,(X),(X),4075,275,83.1,4.2,82715,6295,(X),(X),23969,2096,(X),(X),(X),(X),13.0,5.0
